FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
27311630	_Beef_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27311630.0
27311635	_Beef_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_cheese_sauce_	Yes	No	0	"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"	27311635.0
27311640	_Beef_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_cheese_sauce_	Yes	No	0	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"	27311640.0
27311645	_Beef_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"	27311645.0
27311650	_Beef_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"	27311650.0
27313010	_Beef_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_	Yes	No	0	"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"	27313010.0
27313020	_Beef_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_	Yes	No	0	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"	27313020.0
27313110	Beef_chow_mein_or_chop_suey_with_noodles	Yes	No	0	Beef chow mein or chop suey with noodles	27313110.0
27313150	_Beef_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"	27313150.0
27313160	_Beef_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"	27313160.0
27313210	_Beef_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27313210.0
27313220	_Beef_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27313220.0
27313310	_Beef_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_mushroom_sauce_	Yes	No	0	"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce"	27313310.0
27313320	_Beef_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_mushroom_sauce_	Yes	No	0	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce"	27313320.0
27313410	_Beef_noodles_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27313410.0
27313420	_Beef_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27313420.0
27315010	_Beef_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_	Yes	No	0	"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"	27315010.0
27315020	_Beef_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_	Yes	No	0	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"	27315020.0
27315210	_Beef_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27315210.0
27315220	_Beef_rice_and_vegetables_excluding_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27315220.0
27315250	Stuffed_cabbage_rolls_with_beef_and_rice	Yes	No	0	Stuffed cabbage rolls with beef and rice	27315250.0
27315270	Stuffed_grape_leaves_with_beef_and_rice	Yes	No	0	Stuffed grape leaves with beef and rice	27315270.0
27315310	_Beef_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_mushroom_sauce_	Yes	No	0	"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce"	27315310.0
27315320	_Beef_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_mushroom_sauce_	Yes	No	0	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce"	27315320.0
27315330	_Beef_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_cheese_sauce_	Yes	No	0	"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"	27315330.0
27315340	_Beef_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_cheese_sauce_	Yes	No	0	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"	27315340.0
27315410	_Beef_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27315410.0
27315420	_Beef_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27315420.0
27315510	_Beef_rice_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"	27315510.0
27315520	_Beef_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_soy_based_sauce_	Yes	No	0	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"	27315520.0
27317010	Beef_pot_pie	Yes	No	0	Beef pot pie	27317010.0
27317100	_Beef_dumplings_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27317100.0
27317110	_Beef_dumplings_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27317110.0
27319010	Stuffed_green_pepper_Puerto_Rican_style	Yes	No	0	Stuffed green pepper, Puerto Rican style	27319010.0
27320020	Ham_pot_pie	Yes	No	0	Ham pot pie	27320020.0
27320025	_Ham_or_pork_noodles_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_	Yes	No	0	"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"	27320025.0
