FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
52101100	Biscuit_baking_powder_or_buttermilk_type_made_from_mix	No	Yes	0	Biscuit_baking_powder_or_buttermilk_type_made_from_mix	52101100.0
52104100	Biscuit_cheese	Yes	No	0	Biscuit, cheese	52104100.0
52201000	Cornbread_prepared_from_mix	Yes	No	0	Cornbread, prepared from mix	52201000.0
52208010	Corn_pone_baked	Yes	No	0	Corn pone, baked	52208010.0
52208760	Gordita_sope_shell_plain_no_filling	Yes	No	0	Gordita/sope shell, plain, no filling	52208760.0
52215000	Tortilla_NFS	Yes	No	0	Tortilla, NFS	52215000.0
52220110	Arepa_Dominicana	Yes	No	0	Arepa Dominicana	52220110.0
53103000	Cake_Boston_cream_pie	Yes	No	0	Cake, Boston cream pie	53103000.0
53104500	Cheesecake	Yes	No	0	Cheesecake	53104500.0
53116270	Cake_pound_chocolate	Yes	No	0	Cake, pound, chocolate	53116270.0
53116350	Cake_pound_Puerto_Rican_style	Yes	No	0	Cake, pound, Puerto Rican style	53116350.0
53116550	Cake_or_cupcake_raisin_nut	Yes	No	0	Cake or cupcake, raisin-nut	53116550.0
53118550	Cake_tres_leche	Yes	No	0	Cake, tres leche	53118550.0
53201000	Cookie_NFS	Yes	No	0	Cookie, NFS	53201000.0
53204000	Cookie_brownie_NS_as_to_icing	Yes	No	0	Cookie, brownie, NS as to icing	53204000.0
53206000	Cookie_chocolate_chip	Yes	No	0	Cookie, chocolate chip	53206000.0
53209005	Cookie_chocolate_with_icing_or_coating	Yes	No	0	Cookie, chocolate, with icing or coating	53209005.0
53209015	Cookie_chocolate_sandwich	Yes	No	0	Cookie, chocolate sandwich	53209015.0
53210000	Cookie_chocolate_wafer	Yes	No	0	Cookie, chocolate wafer	53210000.0
53220000	Cookie_fruit_filled_bar	Yes	No	0	Cookie, fruit-filled bar	53220000.0
53222020	Cookie_cone_shell_ice_cream_type_wafer_or_cake	Yes	No	0	Cookie, cone shell, ice cream type, wafer or cake	53222020.0
53226550	Cookie_marshmallow_with_rice_cereal_and_chocolate_chips	Yes	No	0	Cookie, marshmallow, with rice cereal and chocolate chips	53226550.0
53241510	Marie_biscuit	Yes	No	0	Marie biscuit	53241510.0
53242000	Cookie_sugar_wafer	Yes	No	0	Cookie, sugar wafer	53242000.0
53420300	Air_filled_fritter_or_fried_puff_without_syrup_Puerto_Rican_style	Yes	No	0	Air filled fritter or fried puff, without syrup, Puerto Rican style	53420300.0
53452100	Pastry_fruit_filled	Yes	No	0	Pastry, fruit-filled	53452100.0
53452450	Cheese_pastry_puffs	Yes	No	0	Cheese pastry puffs	53452450.0
53453150	Empanada_Mexican_turnover_fruit_filled	Yes	No	0	Empanada, Mexican turnover, fruit-filled	53453150.0
53500100	Breakfast_pastry_NFS	Yes	No	0	Breakfast pastry, NFS	53500100.0
53520110	Doughnut_cake_type	No	Yes	0	Doughnut_cake_type	53520110.0
54102050	Crackers_oatmeal	Yes	No	0	Crackers, oatmeal	54102050.0
54301010	Crackers_butter_plain	Yes	No	0	Crackers, butter, plain	54301010.0
54301030	Crackers_butter_Ritz_	Yes	No	0	Crackers, butter (Ritz)	54301030.0
54304000	Crackers_cheese	Yes	No	0	Crackers, cheese	54304000.0
54319000	Crackers_rice	Yes	No	0	Crackers, rice	54319000.0
54325000	Crackers_saltine	Yes	No	0	Crackers, saltine	54325000.0
54325060	Crackers_saltine_multigrain	Yes	No	0	Crackers, saltine, multigrain	54325060.0
54401021	Corn_chips_plain	Yes	No	0	Corn chips, plain	54401021.0
54401075	Tortilla_chips_plain	Yes	No	0	Tortilla chips, plain	54401075.0
54401085	Tortilla_chips_flavored	Yes	No	0	Tortilla chips, flavored	54401085.0
54401112	Tortilla_chips_other_flavors_Doritos_	Yes	No	0	Tortilla chips, other flavors (Doritos)	54401112.0
54402200	Snack_mix	Yes	No	0	Snack mix	54402200.0
54403001	Popcorn_NFS	Yes	No	0	Popcorn, NFS	54403001.0
55100005	Pancakes_NFS	Yes	No	0	Pancakes, NFS	55100005.0
55200010	Waffle_NFS	Yes	No	0	Waffle, NFS	55200010.0
56130000	Pasta_cooked	Yes	No	0	Pasta, cooked	56130000.0
56201540	Cornmeal_Puerto_Rican_Style	Yes	No	0	Cornmeal, Puerto Rican Style	56201540.0
56205001	Rice_white_cooked_NS_as_to_fat	Yes	No	0	Rice, white, cooked, NS as to fat	56205001.0
56205011	Rice_brown_cooked_NS_as_to_fat	Yes	No	0	Rice, brown, cooked, NS as to fat	56205011.0
56205080	Rice_creamed_made_with_milk_and_sugar_Puerto_Rican_style	Yes	No	0	Rice, creamed, made with milk and sugar, Puerto Rican style	56205080.0
56205092	Rice_cream_of_cooked_NS_as_to_fat	Yes	No	0	Rice, cream of, cooked, NS as to fat	56205092.0
56210000	Cereal_nestum	Yes	No	0	Cereal, nestum	56210000.0
57126000	Cereal_Kellogg_s_Cocoa_Krispies_	Yes	No	0	Cereal (Kellogg's Cocoa Krispies)	57126000.0
57135000	Cereal_Kellogg_s_Corn_Flakes_	Yes	No	0	Cereal (Kellogg's Corn Flakes)	57135000.0
57206700	Cereal_General_Mills_Fiber_One_	Yes	No	0	Cereal (General Mills Fiber One)	57206700.0
57213000	Cereal_Kellogg_s_Froot_Loops_	Yes	No	0	Cereal (Kellogg's Froot Loops)	57213000.0
57227000	Cereal_granola	Yes	No	0	Cereal, granola	57227000.0
57320500	Cereal_Quaker_Granola_with_Oats_Honey_and_Raisins_	Yes	No	0	Cereal (Quaker Granola with Oats, Honey, and Raisins)	57320500.0
57340000	Cereal_puffed_rice	Yes	No	0	Cereal, puffed rice	57340000.0
57344000	Cereal_Kellogg_s_Special_K_	Yes	No	0	Cereal (Kellogg's Special K)	57344000.0
57401100	Cereal_toasted_oat	Yes	No	0	Cereal, toasted oat	57401100.0
57602100	Oats_raw	Yes	No	0	Oats, raw	57602100.0
57602500	Oat_bran_uncooked	Yes	No	0	Oat bran, uncooked	57602500.0
58106358	Pizza_cheese_with_fruit_thin_crust	Yes	No	0	Pizza, cheese, with fruit, thin crust	58106358.0
58106540	Pizza_with_pepperoni_from_restaurant_or_fast_food_NS_as_to_type_of_crust	Yes	No	0	Pizza with pepperoni, from restaurant or fast food, NS as to type of crust	58106540.0
58106610	Pizza_with_meat_other_than_pepperoni_from_restaurant_or_fast_food_NS_as_to_type_of_crust	Yes	No	0	Pizza with meat other than pepperoni, from restaurant or fast food, NS as to type of crust	58106610.0
58116110	Meat_turnover_Puerto_Rican_style	Yes	No	0	Meat turnover, Puerto Rican style	58116110.0
58122320	Knish_cheese	Yes	No	0	Knish, cheese	58122320.0
58122330	Knish_meat	Yes	No	0	Knish, meat	58122330.0
58130011	Lasagna_with_meat	Yes	No	0	Lasagna with meat	58130011.0
58130140	Lasagna_with_chicken_or_turkey	Yes	No	0	Lasagna with chicken or turkey	58130140.0
58401010	Barley_soup_home_recipe_canned_or_ready_to_serve	Yes	No	0	Barley soup, home recipe, canned, or ready-to-serve	58401010.0
61113010	Lemon_raw	Yes	No	0	Lemon, raw	61113010.0
61119010	Orange_raw	Yes	No	0	Orange, raw	61119010.0
61125010	Tangerine_raw	Yes	No	0	Tangerine, raw	61125010.0
61210000	Orange_juice_100_NFS	Yes	No	0	Orange juice, 100%, NFS	61210000.0
61213220	Tangerine_juice_100_	Yes	No	0	Tangerine juice, 100%	61213220.0
62105000	Blueberries_dried	Yes	No	0	Blueberries, dried	62105000.0
62122100	Prune_dried	Yes	No	0	Prune, dried	62122100.0
62125100	Raisins	Yes	No	0	Raisins	62125100.0
62126000	Tamarind_dried	Yes	No	0	Tamarind, dried	62126000.0
63101000	Apple_raw	Yes	No	0	Apple, raw	63101000.0
63103010	Apricot_raw	Yes	No	0	Apricot, raw	63103010.0
63105010	Avocado_raw	Yes	No	0	Avocado, raw	63105010.0
63107010	Banana_raw	Yes	No	0	Banana, raw	63107010.0
63109010	Cantaloupe_raw	Yes	No	0	Cantaloupe, raw	63109010.0
63115110	Cherries_canned	Yes	No	0	Cherries, canned	63115110.0
63119010	Fig_raw	Yes	No	0	Fig, raw	63119010.0
63119110	Fig_canned	Yes	No	0	Fig, canned	63119110.0
63123000	Grapes_raw	Yes	No	0	Grapes, raw	63123000.0
63123010	Grapes_European_type_adherent_skin_raw	No	Yes	0	Grapes_European_type_adherent_skin_raw	63123010.0
63123020	Grapes_American_type_slip_skin_raw	No	Yes	0	Grapes_American_type_slip_skin_raw	63123020.0
63125010	Guava_raw	Yes	No	0	Guava, raw	63125010.0
63125100	Guava_shell_canned_in_heavy_syrup	No	Yes	0	Guava_shell_canned_in_heavy_syrup	63125100.0
63126500	Kiwi_fruit_raw	Yes	No	0	Kiwi fruit, raw	63126500.0
63129010	Mango_raw	Yes	No	0	Mango, raw	63129010.0
63133010	Papaya_raw	Yes	No	0	Papaya, raw	63133010.0
63134010	Passion_fruit_raw	Yes	No	0	Passion fruit, raw	63134010.0
63135010	Peach_raw	Yes	No	0	Peach, raw	63135010.0
63137010	Pear_raw	Yes	No	0	Pear, raw	63137010.0
63139010	Persimmon_raw	Yes	No	0	Persimmon, raw	63139010.0
63141010	Pineapple_raw	Yes	No	0	Pineapple, raw	63141010.0
63143010	Plum_raw	Yes	No	0	Plum, raw	63143010.0
63148750	Tamarind	Yes	No	0	Tamarind	63148750.0
63149010	Watermelon_raw	Yes	No	0	Watermelon, raw	63149010.0
63201010	Blackberries_raw	Yes	No	0	Blackberries, raw	63201010.0
63223020	Strawberries_raw	Yes	No	0	Strawberries, raw	63223020.0
64221010	Soursop_nectar	Yes	No	0	Soursop, nectar	64221010.0
64401000	Vinegar	Yes	No	0	Vinegar	64401000.0
71000100	Potato_NFS	Yes	No	0	Potato, NFS	71000100.0
71100100	Potato_baked_NFS	Yes	No	0	Potato, baked, NFS	71100100.0
71102980	Potato_boiled_NFS	Yes	No	0	Potato, boiled, NFS	71102980.0
71200100	Potato_chips_plain	Yes	No	0	Potato chips, plain	71200100.0
71202000	Potato_chips_unsalted	Yes	No	0	Potato chips, unsalted	71202000.0
71851010	Plantain_soup_Puerto_Rican_style	Yes	No	0	Plantain soup, Puerto Rican style	71851010.0
71900100	Plantain_cooked_no_added_fat	Yes	No	0	Plantain, cooked, no added fat	71900100.0
71901010	Green_plantains_boiled	No	Yes	0	Green_plantains_boiled	71901010.0
71905410	Plantain_chips	Yes	No	0	Plantain chips	71905410.0
71930090	Cassava_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Cassava_cooked_NS_as_to_fat_added_in_cooking	71930090.0
71930120	Cassava_cooked	Yes	No	0	Cassava, cooked	71930120.0
71945010	Yam_cooked_Puerto_Rican	Yes	No	0	Yam, cooked, Puerto Rican	71945010.0
71970120	Starchy_vegetables_including_tannier_white_sweet_potato_and_yam_with_green_or_ripe_plantains_Puerto_Rican_style	No	Yes	0	Starchy_vegetables_including_tannier_white_sweet_potato_and_yam_with_green_or_ripe_plantains_Puerto_Rican_style	71970120.0
71980200	Taro_chips	Yes	No	0	Taro chips	71980200.0
72101100	Beet_greens_raw	Yes	No	0	Beet greens, raw	72101100.0
72101200	Beet_greens_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Beet_greens_cooked_NS_as_to_fat_added_in_cooking	72101200.0
72103000	Broccoli_raab_raw	Yes	No	0	Broccoli raab, raw	72103000.0
72103010	Broccoli_raab_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Broccoli_raab_cooked_NS_as_to_fat_added_in_cooking	72103010.0
72104200	Chard_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Chard_cooked_NS_as_to_fat_added_in_cooking	72104200.0
72116000	Romaine_lettuce_raw	Yes	No	0	Romaine lettuce, raw	72116000.0
72125100	Spinach_raw	Yes	No	0	Spinach, raw	72125100.0
72125200	Spinach_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	No	Yes	0	Spinach_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	72125200.0
73101010	Carrots_raw	Yes	No	0	Carrots, raw	73101010.0
73102200	Carrots_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	No	Yes	0	Carrots_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	73102200.0
73210010	Calabaza_cooked	Yes	No	0	Calabaza, cooked	73210010.0
73421000	Sweet_potato_yellow_Puerto_Rican_cooked	Yes	No	0	Sweet potato, yellow, Puerto Rican, cooked	73421000.0
74101000	Tomatoes_raw	Yes	No	0	Tomatoes, raw	74101000.0
74201000	Tomatoes_NS_as_to_form_cooked	Yes	No	0	Tomatoes, NS as to form, cooked	74201000.0
74401010	Ketchup	Yes	No	0	Ketchup	74401010.0
74401110	Ketchup_reduced_sodium	Yes	No	0	Ketchup, reduced sodium	74401110.0
74402110	Salsa_pico_de_gallo	Yes	No	0	Salsa, pico de gallo	74402110.0
74601000	Tomato_soup_NFS	Yes	No	0	Tomato soup, NFS	74601000.0
75100300	Sprouts_NFS	Yes	No	0	Sprouts, NFS	75100300.0
75103000	Cabbage_green_raw	Yes	No	0	Cabbage, green, raw	75103000.0
75104000	Cabbage_Chinese_raw	Yes	No	0	Cabbage, Chinese, raw	75104000.0
75105000	Cabbage_red_raw	Yes	No	0	Cabbage, red, raw	75105000.0
75109000	Celery_raw	Yes	No	0	Celery, raw	75109000.0
75109400	Basil_raw	Yes	No	0	Basil, raw	75109400.0
75109550	Cilantro_raw	Yes	No	0	Cilantro, raw	75109550.0
75111000	Cucumber_raw	Yes	No	0	Cucumber, raw	75111000.0
75111500	Garlic_raw	Yes	No	0	Garlic, raw	75111500.0
75112500	Leek_raw	Yes	No	0	Leek, raw	75112500.0
75113000	Lettuce_raw	Yes	No	0	Lettuce, raw	75113000.0
75117010	Onions_green_raw	Yes	No	0	Onions, green, raw	75117010.0
75119000	Parsley_raw	Yes	No	0	Parsley, raw	75119000.0
75122100	Pepper_sweet_green_raw	Yes	No	0	Pepper, sweet, green, raw	75122100.0
75122200	Pepper_sweet_red_raw	Yes	No	0	Pepper, sweet, red, raw	75122200.0
75125000	Radish_raw	Yes	No	0	Radish, raw	75125000.0
75128000	Summer_squash_yellow_raw	Yes	No	0	Summer squash, yellow, raw	75128000.0
75200700	Aloe_vera_juice_drink	Yes	No	0	Aloe vera juice drink	75200700.0
75205003	Beans_string_cooked_from_canned_NS_as_to_color_NS_as_to_fat_added_in_cooking	No	Yes	0	Beans_string_cooked_from_canned_NS_as_to_color_NS_as_to_fat_added_in_cooking	75205003.0
75210000	Cabbage_Chinese_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Cabbage_Chinese_cooked_NS_as_to_fat_added_in_cooking	75210000.0
75214000	Cauliflower_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	No	Yes	0	Cauliflower_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	75214000.0
75215000	Celery_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Celery_cooked_NS_as_to_fat_added_in_cooking	75215000.0
75215509	Christophine_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Christophine_cooked_NS_as_to_fat_added_in_cooking	75215509.0
75216000	Corn_cooked_NS_as_to_form_NS_as_to_color_NS_as_to_fat_added_in_cooking	No	Yes	0	Corn_cooked_NS_as_to_form_NS_as_to_color_NS_as_to_fat_added_in_cooking	75216000.0
75216150	Corn_yellow_NS_as_to_form_cream_style	No	Yes	0	Corn_yellow_NS_as_to_form_cream_style	75216150.0
75216153	Corn_creamed	Yes	No	0	Corn, creamed	75216153.0
75217000	Eggplant_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Eggplant_cooked_NS_as_to_fat_added_in_cooking	75217000.0
75219000	Mushrooms_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	No	Yes	0	Mushrooms_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	75219000.0
75219003	Mushrooms_cooked_from_canned_NS_as_to_fat_added_in_cooking	No	Yes	0	Mushrooms_cooked_from_canned_NS_as_to_fat_added_in_cooking	75219003.0
75221000	Onions_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	No	Yes	0	Onions_cooked_NS_as_to_form_NS_as_to_fat_added_in_cooking	75221000.0
75226000	Peppers_green_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Peppers_green_cooked_NS_as_to_fat_added_in_cooking	75226000.0
