FoodCode	Main.food.description	2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode
11710051	Infant formula, ready-to-feed (Similac Expert Care Alimentum)	Yes	No	0
11710053	Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)	Yes	No	0
11710054	Infant formula, powder, made with tap water (Similac Expert Care Alimentum)	Yes	No	0
11710055	Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)	Yes	No	0
11710056	Infant formula, powder, made with baby water (Similac Expert Care Alimentum)	Yes	No	0
11710350	Infant formula, NS as to form (Similac Advance)	Yes	No	0
11710351	Infant formula, ready-to-feed (Similac Advance)	Yes	No	0
11710352	Infant formula, liquid concentrate, made with water, NFS (Similac Advance)	Yes	No	0
11710353	Infant formula, powder, made with water, NFS (Similac Advance)	Yes	No	0
11710354	Infant formula, liquid concentrate, made with tap water (Similac Advance)	Yes	No	0
11710355	Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)	Yes	No	0
11710356	Infant formula, liquid concentrate, made with baby water (Similac Advance)	Yes	No	0
11710357	Infant formula, powder, made with tap water (Similac Advance)	Yes	No	0
11710358	Infant formula, powder, made with plain bottled water (Similac Advance)	Yes	No	0
11710359	Infant formula, powder, made with baby water (Similac Advance)	Yes	No	0
11710360	Infant formula, NS as to form (Similac Advance Organic)	Yes	No	0
11710361	Infant formula, ready-to-feed (Similac Advance Organic)	Yes	No	0
11710363	Infant formula, powder, made with water, NFS (Similac Advance Organic)	Yes	No	0
11710367	Infant formula, powder, made with tap water (Similac Advance Organic)	Yes	No	0
11710368	Infant formula, powder, made with plain bottled water (Similac Advance Organic)	Yes	No	0
11710369	Infant formula, powder, made with baby water (Similac Advance Organic)	Yes	No	0
11710370	Infant formula, NS as to form (Similac Sensitive)	Yes	No	0
11710371	Infant formula, ready-to-feed (Similac Sensitive)	Yes	No	0
11710372	Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)	Yes	No	0
11710373	Infant formula, powder, made with water, NFS (Similac Sensitive)	Yes	No	0
11710374	Infant formula, liquid concentrate, made with tap water (Similac Sensitive)	Yes	No	0
11710375	Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)	Yes	No	0
11710376	Infant formula, liquid concentrate, made with baby water (Similac Sensitive)	Yes	No	0
11710377	Infant formula, powder, made with tap water (Similac Sensitive)	Yes	No	0
11710378	Infant formula, powder, made with plain bottled water (Similac Sensitive)	Yes	No	0
11710379	Infant formula, powder, made with baby water (Similac Sensitive)	Yes	No	0
11710380	Infant formula, NS as to form (Similac for Spit-Up)	Yes	No	0
11710381	Infant formula, ready-to-feed (Similac for Spit-Up)	Yes	No	0
11710383	Infant formula, powder, made with water, NFS (Similac for Spit-Up)	Yes	No	0
11710470	Infant formula, NS as to form (Similac Expert Care NeoSure)	Yes	No	0
11710471	Infant formula, ready-to-feed (Similac Expert Care NeoSure)	Yes	No	0
11710473	Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)	Yes	No	0
11710477	Infant formula, powder, made with tap water (Similac Expert Care NeoSure)	Yes	No	0
11710478	Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)	Yes	No	0
11710479	Infant formula, powder, made with baby water (Similac Expert Care NeoSure)	Yes	No	0
11710480	Infant formula, NS as to form (Similac Go and Grow)	Yes	No	0
11710481	Infant formula, powder, made with water, NFS (Similac Go and Grow)	Yes	No	0
11710620	Infant formula, NS as to form (Enfamil Newborn)	Yes	No	0
11710621	Infant formula, ready-to-feed (Enfamil Newborn)	Yes	No	0
11710626	Infant formula, powder, made with water, NFS (Enfamil Newborn)	Yes	No	0
11710627	Infant formula, powder, made with tap water (Enfamil Newborn)	Yes	No	0
11710628	Infant formula, powder, made with plain bottled water (Enfamil Newborn)	Yes	No	0
11710629	Infant formula, powder, made with baby water (Enfamil Newborn)	Yes	No	0
11710630	Infant formula, NS as to form (Enfamil Infant)	Yes	No	0
11710631	Infant formula, ready-to-feed (Enfamil Infant)	Yes	No	0
11710632	Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)	Yes	No	0
11710633	Infant formula, liquid concentrate, made with tap water (Enfamil Infant)	Yes	No	0
11710634	Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)	Yes	No	0
11710635	Infant formula, liquid concentrate, made with baby water (Enfamil Infant)	Yes	No	0
11710636	Infant formula, powder, made with water, NFS (Enfamil Infant)	Yes	No	0
11710637	Infant formula, powder, made with tap water (Enfamil Infant)	Yes	No	0
11710638	Infant formula, powder, made with plain bottled water (Enfamil Infant)	Yes	No	0
11710639	Infant formula, powder, made with baby water (Enfamil Infant)	Yes	No	0
11710660	Infant formula, NS as to form (Enfamil A.R.)	Yes	No	0
11710661	Infant formula, ready-to-feed (Enfamil A.R.)	Yes	No	0
11710663	Infant formula, powder, made with water, NFS (Enfamil A.R.)	Yes	No	0
11710664	Infant formula, powder, made with tap water (Enfamil A.R.)	Yes	No	0
11710665	Infant formula, NS as to form (Enfamil EnfaCare)	Yes	No	0
11710666	Infant formula, ready-to-feed (Enfamil EnfaCare)	Yes	No	0
11710667	Infant formula, powder, made with water, NFS (Enfamil EnfaCare)	Yes	No	0
11710668	Infant formula, powder, made with plain bottled water (Enfamil A.R.)	Yes	No	0
11710669	Infant formula, powder, made with baby water (Enfamil A.R.)	Yes	No	0
11710670	Infant formula, NS as to form (Enfamil Gentlease)	Yes	No	0
11710671	Infant formula, ready-to-feed (Enfamil Gentlease)	Yes	No	0
11710673	Infant formula, powder, made with water, NFS (Enfamil Gentlease)	Yes	No	0
11710674	Infant formula, powder, made with tap water (Enfamil EnfaCare)	Yes	No	0
11710675	Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)	Yes	No	0
11710676	Infant formula, powder, made with baby water (Enfamil EnfaCare)	Yes	No	0
11710677	Infant formula, powder, made with tap water (Enfamil Gentlease)	Yes	No	0
11710678	Infant formula, powder, made with plain bottled water (Enfamil Gentlease)	Yes	No	0
11710679	Infant formula, powder, made with baby water (Enfamil Gentlease)	Yes	No	0
11710680	Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)	Yes	No	0
11710681	Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)	Yes	No	0
11710683	Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)	Yes	No	0
11710687	Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)	Yes	No	0
11710688	Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)	Yes	No	0
11710689	Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)	Yes	No	0
11710690	Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)	Yes	No	0
11710693	Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)	Yes	No	0
11710697	Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)	Yes	No	0
11710698	Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)	Yes	No	0
11710699	Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)	Yes	No	0
11710800	Infant formula, NS as to form (PediaSure)	Yes	No	0
11710801	Infant formula, ready-to-feed (PediaSure)	Yes	No	0
11710805	Infant formula, with fiber, NS as to form (PediaSure Fiber)	Yes	No	0
11710806	Infant formula, with fiber, ready-to-feed (PediaSure Fiber)	Yes	No	0
11710910	Infant formula, NS as to form (Gerber Good Start Gentle)	Yes	No	0
11710911	Infant formula, ready-to-feed (Gerber Good Start Gentle)	Yes	No	0
11710912	Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)	Yes	No	0
11710913	Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)	Yes	No	0
11710914	Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)	Yes	No	0
11710915	Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)	Yes	No	0
11710916	Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)	Yes	No	0
11710917	Infant formula, powder, made with tap water (Gerber Good Start Gentle)	Yes	No	0
11710918	Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)	Yes	No	0
11710919	Infant formula, powder, made with baby water (Gerber Good Start Gentle)	Yes	No	0
11710920	Infant formula, NS as to form (Gerber Good Start Protect)	Yes	No	0
11710923	Infant formula, powder, made with water, NFS (Gerber Good Start Protect)	Yes	No	0
11710927	Infant formula, powder, made with tap water (Gerber Good Start Protect)	Yes	No	0
11710928	Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)	Yes	No	0
11710929	Infant formula, powder, made with baby water (Gerber Good Start Protect)	Yes	No	0
11710930	Infant formula, NS as to form (Gerber Graduates Gentle)	Yes	No	0
11710940	Infant formula, NS as to form (Gerber Graduates Protect)	Yes	No	0
11710960	Infant formula, NS as to form (Store Brand)	Yes	No	0
11710961	Infant formula, liquid concentrate, made with water, NFS (Store Brand)	Yes	No	0
11710962	Infant formula, powder, made with water, NFS (Store Brand)	Yes	No	0
11710963	Infant formula, ready-to-feed (Store Brand)	Yes	No	0
11710964	Infant formula, liquid concentrate, made with tap water (Store Brand)	Yes	No	0
11710965	Infant formula, liquid concentrate, made with plain bottled water (Store Brand)	Yes	No	0
11710966	Infant formula, liquid concentrate, made with baby water (Store Brand)	Yes	No	0
11710967	Infant formula, powder, made with tap water (Store Brand)	Yes	No	0
11710968	Infant formula, powder, made with plain bottled water (Store Brand)	Yes	No	0
11710969	Infant formula, powder, made with baby water (Store Brand)	Yes	No	0
11720310	Infant formula, NS as to form (Enfamil ProSobee)	Yes	No	0
11720311	Infant formula, ready-to-feed (Enfamil ProSobee)	Yes	No	0
11720312	Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)	Yes	No	0
11720313	Infant formula, powder, made with water, NFS (Enfamil ProSobee)	Yes	No	0
11720314	Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)	Yes	No	0
11720315	Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)	Yes	No	0
11720316	Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)	Yes	No	0
11720317	Infant formula, powder, made with tap water (Enfamil ProSobee)	Yes	No	0
11720318	Infant formula, powder, made with plain bottled water (Enfamil ProSobee)	Yes	No	0
11720319	Infant formula, powder, made with baby water (Enfamil ProSobee)	Yes	No	0
11720320	Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)	Yes	No	0
11720323	Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)	Yes	No	0
11720410	Infant formula, NS as to form (Similac Isomil Soy)	Yes	No	0
11720411	Infant formula, ready-to-feed (Similac Isomil Soy)	Yes	No	0
11720412	Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)	Yes	No	0
11720413	Infant formula, powder, made with water, NFS (Similac Isomil Soy)	Yes	No	0
11720414	Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)	Yes	No	0
11720415	Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)	Yes	No	0
11720416	Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)	Yes	No	0
